component,instance,base_id,base_window_range
FatalHandler,fatalHandler,1,20
ActiveRateGroup,rateGroup1Comp,21,20
TlmChan,chanTlm,61,20
CommandDispatcher,cmdDisp,121,20
ActiveRateGroup,rateGroup2Comp,161,20
ActiveRateGroup,rateGroup3Comp,241,20
AssertFatalAdapter,fatalAdapter,341,20
Health,health,361,20
ActiveLogger,eventLogger,421,20
Time,RTOSTime,441,20
RateGroupDriver,rateGroupDriverComp,461,20
BlockDriver,blockDrv,481,20
LedBlinker,blinker,721,20
GroundInterface,ground,761,20
STM32SerialDriver,serial,801,20
